# Poseidon2 UltraHonk transcript parity fixture (bb.js)
# format: name|digest_hex|challenge_lo_hex|challenge_hi_hex|input_fields_hex_csv
eta_round_0|21f4874886147581ee6cc4f6982268d1c24e38324ed698679da254a54067983c|00000000000000000000000000000000c24e38324ed698679da254a54067983c|0000000000000000000000000000000021f4874886147581ee6cc4f6982268d1|0000000000000000000000000000000000000000000000000000000000001000,0000000000000000000000000000000000000000000000000000000000000012,0000000000000000000000000000000000000000000000000000000000000001,092072cdfe66f4cc1b566f2f1672a45399262400b08126f9f802ebc8cf708310,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000042ab5d6d1986846cf,00000000000000000000000000000000000000000000000b75c020998797da78,0000000000000000000000000000000000000000000000005a107acb64952eca,000000000000000000000000000000000000000000000000000031e97a575e9d,00000000000000000000000000000000000000000000000b5666547acf8bd5a4,00000000000000000000000000000000000000000000000c410db10a01750aeb,00000000000000000000000000000000000000000000000d722669117f9758a4,000000000000000000000000000000000000000000000000000178cbf4206471,000000000000000000000000000000000000000000000000e91b8a11e7842c38,000000000000000000000000000000000000000000000007fd51009034b3357f,000000000000000000000000000000000000000000000009889939f81e9c7402,0000000000000000000000000000000000000000000000000000f94656a2ca48,000000000000000000000000000000000000000000000006fb128b46c1ddb67f,0000000000000000000000000000000000000000000000093fe27776f50224bd,000000000000000000000000000000000000000000000004a0c80c0da527a081,0000000000000000000000000000000000000000000000000001b52c2020d746,000000000000000000000000000000d02e0e2af62fbd2f9b8f77059683fcc83d,00000000000000000000000000000000002cf2eb96f8692a51a31191064e699a,000000000000000000000000000000334e2110ac3d23ce6bd95886fee3ac9490,000000000000000000000000000000000019a6c25a917589d2e648094ef70df4,000000000000000000000000000000df000c36d3b7d5e74d1a9014578a19472b,00000000000000000000000000000000001cd433f639142cc28bce30804f1eb9,000000000000000000000000000000182c2c1164b287a535082b725511ee0a75,00000000000000000000000000000000000a0ac3c1ddd5b5870057c993df2cbf,0000000000000000000000000000007edba713d4d0a2f2c4ab6536d4b13f5d64,0000000000000000000000000000000000230e9ca621e9e0d7f28bed20dde518,000000000000000000000000000000c76096b3decd3daf488ea3625981939c03,0000000000000000000000000000000000239b6eefd9c464f6dd6c8f8b0a62c2
eta_round_1|10f8f5c7a2ed0680df1651699e5a5b1129661ed0cd517969de0f03cd156287a4|0000000000000000000000000000000029661ed0cd517969de0f03cd156287a4|0000000000000000000000000000000010f8f5c7a2ed0680df1651699e5a5b11|21f4874886147581ee6cc4f6982268d1c24e38324ed698679da254a54067983c
beta_gamma_round_0|2a81cc789f31c5406c8955190ba6a7d528ffa66528d195efc85b1253ed3ddf79|0000000000000000000000000000000028ffa66528d195efc85b1253ed3ddf79|000000000000000000000000000000002a81cc789f31c5406c8955190ba6a7d5|10f8f5c7a2ed0680df1651699e5a5b1129661ed0cd517969de0f03cd156287a4,0000000000000000000000000000000612cacc715d0d4fb9eb1de2b187807826,00000000000000000000000000000000000c828f39a91fefb8d330467c0556e3,0000000000000000000000000000007dc13e448af35264e077f72ffcf5db66aa,00000000000000000000000000000000001364f09eab08ccae4e58bcd7604c0a,0000000000000000000000000000000612cacc715d0d4fb9eb1de2b187807826,00000000000000000000000000000000000c828f39a91fefb8d330467c0556e3,0000000000000000000000000000007dc13e448af35264e077f72ffcf5db66aa,00000000000000000000000000000000001364f09eab08ccae4e58bcd7604c0a,000000000000000000000000000000716fe30c5880b238c88aff7771759c03f4,0000000000000000000000000000000000211e8472e4de1afa1404ff7b19cabe,000000000000000000000000000000c88b56595252fc8f9fe5f8acabd09db89e,0000000000000000000000000000000000037eff652580091e32abeda271926e
alpha_round_0|1c9bd0a997c622a021ea7dfc052e5e1946977f67cfa1979e407f8a525f0f2444|0000000000000000000000000000000046977f67cfa1979e407f8a525f0f2444|000000000000000000000000000000001c9bd0a997c622a021ea7dfc052e5e19|2a81cc789f31c5406c8955190ba6a7d528ffa66528d195efc85b1253ed3ddf79,000000000000000000000000000000a160f2f20ea613017e3ebf08631f1f3365,00000000000000000000000000000000002c3f7a0af7987f232dd8e6f1d1e6c2,00000000000000000000000000000070d2885dab156101e55d85ec32c4eb450f,000000000000000000000000000000000001169ac85ab9f51fc5c283982ed65a,000000000000000000000000000000cda5a1634f1c85c9f5ed2a404737400bfc,00000000000000000000000000000000001c99c24df64d29ba0466809de39e07,000000000000000000000000000000757b9c32a5dc255995cd764d05f9bc9755,00000000000000000000000000000000001d724634ed1f7096fa7d05bb5511f9
alpha_round_1|08ea8b90add5140f9e865fd75558401ff9ad43563e0a65e7fa79c85b8c503e6e|00000000000000000000000000000000f9ad43563e0a65e7fa79c85b8c503e6e|0000000000000000000000000000000008ea8b90add5140f9e865fd75558401f|1c9bd0a997c622a021ea7dfc052e5e1946977f67cfa1979e407f8a525f0f2444
alpha_round_2|146b69980af54c13e8c2200db689d094cdb13ea910c0205885db718676411b97|00000000000000000000000000000000cdb13ea910c0205885db718676411b97|00000000000000000000000000000000146b69980af54c13e8c2200db689d094|08ea8b90add5140f9e865fd75558401ff9ad43563e0a65e7fa79c85b8c503e6e
alpha_round_3|045bfd4f749782dac23250fcefd22b3740065e1e740acb330678b960e3b3ec18|0000000000000000000000000000000040065e1e740acb330678b960e3b3ec18|00000000000000000000000000000000045bfd4f749782dac23250fcefd22b37|146b69980af54c13e8c2200db689d094cdb13ea910c0205885db718676411b97
alpha_round_4|1e0d3b174d9a70d5dd18ac5658080f3fd15b02fadd1265529823eaf59b0fa2cd|00000000000000000000000000000000d15b02fadd1265529823eaf59b0fa2cd|000000000000000000000000000000001e0d3b174d9a70d5dd18ac5658080f3f|045bfd4f749782dac23250fcefd22b3740065e1e740acb330678b960e3b3ec18
alpha_round_5|27ed3be0fadf6abaa86b57e2c5a8943f8b94b7efd0fdd15b56d433c66454e5cd|000000000000000000000000000000008b94b7efd0fdd15b56d433c66454e5cd|0000000000000000000000000000000027ed3be0fadf6abaa86b57e2c5a8943f|1e0d3b174d9a70d5dd18ac5658080f3fd15b02fadd1265529823eaf59b0fa2cd
alpha_round_6|128842bab559799c601f6b8794c5eb1106e27d10593d430aa0ba27516ac0c84b|0000000000000000000000000000000006e27d10593d430aa0ba27516ac0c84b|00000000000000000000000000000000128842bab559799c601f6b8794c5eb11|27ed3be0fadf6abaa86b57e2c5a8943f8b94b7efd0fdd15b56d433c66454e5cd
alpha_round_7|300448c12a3a0b7b863bc97685d7fb65e76b9cc7a78ddd77fa3430c02c482ca4|00000000000000000000000000000000e76b9cc7a78ddd77fa3430c02c482ca4|00000000000000000000000000000000300448c12a3a0b7b863bc97685d7fb65|128842bab559799c601f6b8794c5eb1106e27d10593d430aa0ba27516ac0c84b
alpha_round_8|238e3e60f84aad1a58c958be33979f766db5818d679c230cf21dcc2f012017f5|000000000000000000000000000000006db5818d679c230cf21dcc2f012017f5|00000000000000000000000000000000238e3e60f84aad1a58c958be33979f76|300448c12a3a0b7b863bc97685d7fb65e76b9cc7a78ddd77fa3430c02c482ca4
alpha_round_9|12ea1a6c4f0d06c1ad98142e20a712cf33f38c557cd4274eceeecaa1f0bc8875|0000000000000000000000000000000033f38c557cd4274eceeecaa1f0bc8875|0000000000000000000000000000000012ea1a6c4f0d06c1ad98142e20a712cf|238e3e60f84aad1a58c958be33979f766db5818d679c230cf21dcc2f012017f5
